State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
TX,Victoria County,Distribution of COVID-19 deaths (%),1439,302,0.437,0.07,,,,0.483,
TX,Victoria County,Distribution of population (%),1439,302,0.439,0.057,0.003,0.013,0,0.478,0.01
TX,Webb County,Distribution of all-cause deaths (%),2383,660,0.034,,,,,0.96,
TX,Webb County,Distribution of COVID-19 deaths (%),2383,660,0.015,,,,,0.98,
TX,Webb County,Distribution of population (%),2383,660,0.036,0.003,0,0.005,0,0.954,0.001
TX,Wichita County,Distribution of all-cause deaths (%),2161,383,0.818,0.087,,,,0.085,
TX,Wichita County,Distribution of COVID-19 deaths (%),2161,383,0.768,0.07,,,,0.154,
TX,Wichita County,Distribution of population (%),2161,383,0.645,0.104,0.008,0.02,0.001,0.198,0.024
TX,Williamson County,Distribution of all-cause deaths (%),4350,483,0.799,0.061,,0.021,,0.114,0.003
TX,Williamson County,Distribution of COVID-19 deaths (%),4350,483,0.627,0.064,,0.021,,0.282,
TX,Williamson County,Distribution of population (%),4350,483,0.58,0.067,0.003,0.078,0.001,0.248,0.024
TX,Wise County,Distribution of all-cause deaths (%),811,122,0.919,,,,,0.069,
TX,Wise County,Distribution of COVID-19 deaths (%),811,122,0.82,,,,,0.172,
TX,Wise County,Distribution of population (%),811,122,0.76,0.013,0.007,0.006,0,0.199,0.014
UT,Davis County,Distribution of all-cause deaths (%),2202,123,0.915,0.008,0.005,0.012,0.008,0.046,0.007
UT,Davis County,Distribution of COVID-19 deaths (%),2202,123,0.846,,,,,,
UT,Davis County,Distribution of population (%),2202,123,0.826,0.012,0.004,0.019,0.007,0.101,0.03
UT,Salt Lake County,Distribution of all-cause deaths (%),9668,924,0.831,0.014,0.013,0.023,0.018,0.095,0.007
UT,Salt Lake County,Distribution of COVID-19 deaths (%),9668,924,0.653,0.012,0.041,0.038,0.041,0.209,
UT,Salt Lake County,Distribution of population (%),9668,924,0.692,0.018,0.007,0.043,0.016,0.185,0.039
UT,Utah County,Distribution of all-cause deaths (%),3516,331,0.908,0.003,0.005,0.006,0.013,0.059,0.006
UT,Utah County,Distribution of COVID-19 deaths (%),3516,331,0.792,,,,,0.142,
UT,Utah County,Distribution of population (%),3516,331,0.81,0.006,0.005,0.018,0.009,0.121,0.032
UT,Washington County,Distribution of all-cause deaths (%),2165,223,0.916,0.007,0.016,0.007,0.008,0.04,0.006
UT,Washington County,Distribution of COVID-19 deaths (%),2165,223,0.789,,0.072,,,0.081,
UT,Washington County,Distribution of population (%),2165,223,0.831,0.007,0.01,0.009,0.008,0.108,0.026
UT,Weber County,Distribution of all-cause deaths (%),2503,192,0.859,0.016,0.006,0.015,0.004,0.094,0.006
UT,Weber County,Distribution of COVID-19 deaths (%),2503,192,0.734,,,,,0.182,
UT,Weber County,Distribution of population (%),2503,192,0.754,0.013,0.005,0.014,0.003,0.187,0.024
VA,Arlington County,Distribution of all-cause deaths (%),1762,277,0.608,0.187,,0.092,,0.106,
VA,Arlington County,Distribution of COVID-19 deaths (%),1762,277,0.491,0.224,,0.116,,0.166,
VA,Arlington County,Distribution of population (%),1762,277,0.613,0.091,0.002,0.108,0.001,0.156,0.03
VA,Augusta County,Distribution of all-cause deaths (%),1120,122,0.94,0.041,,,,0.009,
VA,Augusta County,Distribution of COVID-19 deaths (%),1120,122,0.877,0.098,,,,,
VA,Augusta County,Distribution of population (%),1120,122,0.902,0.045,0.002,0.006,0,0.031,0.014
VA,Chesterfield County,Distribution of all-cause deaths (%),3025,236,0.743,0.21,,0.015,,0.027,0.003
VA,Chesterfield County,Distribution of COVID-19 deaths (%),3025,236,0.64,0.284,,,,0.068,
VA,Chesterfield County,Distribution of population (%),3025,236,0.606,0.235,0.002,0.036,0.001,0.095,0.025
VA,Fairfax County,Distribution of all-cause deaths (%),6658,834,0.667,0.103,,0.133,,0.09,0.006
VA,Fairfax County,Distribution of COVID-19 deaths (%),6658,834,0.543,0.094,,0.152,,0.206,
VA,Fairfax County,Distribution of population (%),6658,834,0.5,0.099,0.001,0.199,0.001,0.165,0.034
VA,Hanover County,Distribution of all-cause deaths (%),1728,208,0.708,0.271,,0.006,,0.009,
VA,Hanover County,Distribution of COVID-19 deaths (%),1728,208,0.553,0.428,,,,,
VA,Hanover County,Distribution of population (%),1728,208,0.834,0.093,0.004,0.019,0,0.031,0.019
VA,Henrico County,Distribution of all-cause deaths (%),4320,481,0.675,0.274,0.003,0.019,,0.019,0.011
VA,Henrico County,Distribution of COVID-19 deaths (%),4320,481,0.597,0.324,,0.023,,0.044,
VA,Henrico County,Distribution of population (%),4320,481,0.521,0.302,0.002,0.09,0,0.06,0.024
VA,Loudoun County,Distribution of all-cause deaths (%),2206,237,0.765,0.093,,0.085,,0.05,0.006
VA,Loudoun County,Distribution of COVID-19 deaths (%),2206,237,0.726,0.093,,0.101,,0.08,
VA,Loudoun County,Distribution of population (%),2206,237,0.547,0.075,0.002,0.201,0.001,0.139,0.035
VA,Prince William County,Distribution of all-cause deaths (%),2162,253,0.618,0.198,,0.06,,0.111,0.01
VA,Prince William County,Distribution of COVID-19 deaths (%),2162,253,0.423,0.233,,0.079,,0.253,
VA,Prince William County,Distribution of population (%),2162,253,0.415,0.206,0.002,0.092,0.001,0.245,0.04
VA,Rockingham County,Distribution of all-cause deaths (%),1040,133,0.938,0.029,,,,0.02,
VA,Rockingham County,Distribution of COVID-19 deaths (%),1040,133,0.887,,,,,0.075,
VA,Rockingham County,Distribution of population (%),1040,133,0.878,0.022,0.002,0.009,0,0.074,0.014
VA,Alexandria city,Distribution of all-cause deaths (%),1070,161,0.568,0.268,,0.065,,0.092,
VA,Alexandria city,Distribution of COVID-19 deaths (%),1070,161,0.441,0.273,,,,0.224,
VA,Alexandria city,Distribution of population (%),1070,161,0.522,0.218,0.002,0.063,0.001,0.166,0.028
VA,Charlottesville city,Distribution of all-cause deaths (%),1293,123,0.761,0.182,,0.009,,0.039,0.01
VA,Charlottesville city,Distribution of COVID-19 deaths (%),1293,123,0.569,0.236,,,,0.163,
VA,Charlottesville city,Distribution of population (%),1293,123,0.661,0.18,0.002,0.07,0,0.058,0.028
VA,Chesapeake city,Distribution of all-cause deaths (%),2120,150,0.644,0.308,,0.02,,0.02,0.007
VA,Chesapeake city,Distribution of COVID-19 deaths (%),2120,150,0.553,0.353,,,,,
VA,Chesapeake city,Distribution of population (%),2120,150,0.566,0.296,0.003,0.034,0.001,0.066,0.033
VA,Danville city,Distribution of all-cause deaths (%),957,105,0.645,0.345,,,,,
VA,Danville city,Distribution of COVID-19 deaths (%),957,105,0.61,0.381,,,,,
VA,Danville city,Distribution of population (%),957,105,0.413,0.51,0.002,0.013,0.001,0.047,0.015
VA,Fredericksburg city,Distribution of all-cause deaths (%),1048,105,0.768,0.165,,0.019,,0.035,
VA,Fredericksburg city,Distribution of COVID-19 deaths (%),1048,105,0.724,0.171,,,,,
VA,Fredericksburg city,Distribution of population (%),1048,105,0.591,0.228,0.003,0.029,0.001,0.109,0.038
VA,Lynchburg city,Distribution of all-cause deaths (%),1998,293,0.741,0.24,,,,0.01,
VA,Lynchburg city,Distribution of COVID-19 deaths (%),1998,293,0.765,0.222,,,,,
VA,Lynchburg city,Distribution of population (%),1998,293,0.626,0.276,0.003,0.026,0.001,0.045,0.023
VA,Manassas city,Distribution of all-cause deaths (%),630,151,0.633,0.157,,0.06,,0.149,
VA,Manassas city,Distribution of COVID-19 deaths (%),630,151,0.536,0.119,,,,0.298,
VA,Manassas city,Distribution of population (%),630,151,0.395,0.136,0.002,0.059,0.001,0.381,0.026
VA,Newport News city,Distribution of all-cause deaths (%),2425,194,0.571,0.378,,0.019,,0.02,0.009
VA,Newport News city,Distribution of COVID-19 deaths (%),2425,194,0.562,0.381,,,,,
VA,Newport News city,Distribution of population (%),2425,194,0.422,0.409,0.004,0.032,0.002,0.094,0.039
VA,Norfolk city,Distribution of all-cause deaths (%),3322,237,0.47,0.46,,0.029,,0.021,0.016
VA,Norfolk city,Distribution of COVID-19 deaths (%),3322,237,0.397,0.565,,,,,
VA,Norfolk city,Distribution of population (%),3322,237,0.432,0.405,0.004,0.037,0.002,0.084,0.035
VA,Petersburg city,Distribution of all-cause deaths (%),965,120,0.374,0.601,,,,,
VA,Petersburg city,Distribution of COVID-19 deaths (%),965,120,0.4,0.558,,,,,
VA,Petersburg city,Distribution of population (%),965,120,0.154,0.756,0.004,0.01,0.001,0.051,0.024
VA,Portsmouth city,Distribution of all-cause deaths (%),1305,122,0.45,0.508,,0.009,,0.018,0.011
VA,Portsmouth city,Distribution of COVID-19 deaths (%),1305,122,0.402,0.557,,,,,
VA,Portsmouth city,Distribution of population (%),1305,122,0.371,0.533,0.004,0.014,0.001,0.047,0.029
VA,Richmond city,Distribution of all-cause deaths (%),3801,283,0.466,0.48,0.003,0.012,,0.029,0.011
VA,Richmond city,Distribution of COVID-19 deaths (%),3801,283,0.498,0.41,,,,0.071,
VA,Richmond city,Distribution of population (%),3801,283,0.422,0.459,0.003,0.022,0,0.073,0.021
VA,Roanoke city,Distribution of all-cause deaths (%),2870,294,0.813,0.157,,0.006,,0.014,0.009
VA,Roanoke city,Distribution of COVID-19 deaths (%),2870,294,0.847,0.105,,,,,
VA,Roanoke city,Distribution of population (%),2870,294,0.578,0.287,0.002,0.035,0.001,0.067,0.03
VA,Salem city,Distribution of all-cause deaths (%),1076,125,0.867,0.124,,,,,
VA,Salem city,Distribution of COVID-19 deaths (%),1076,125,0.816,0.16,,,,,
VA,Salem city,Distribution of population (%),1076,125,0.849,0.074,0.003,0.019,0,0.036,0.019
VA,Suffolk city,Distribution of all-cause deaths (%),1136,170,0.534,0.444,,,,0.012,
VA,Suffolk city,Distribution of COVID-19 deaths (%),1136,170,0.524,0.447,,,,,
VA,Suffolk city,Distribution of population (%),1136,170,0.489,0.417,0.003,0.018,0.001,0.047,0.026
VA,Virginia Beach city,Distribution of all-cause deaths (%),3780,206,0.751,0.179,,0.033,,0.026,0.008
VA,Virginia Beach city,Distribution of COVID-19 deaths (%),3780,206,0.626,0.233,,0.058,,0.063,
VA,Virginia Beach city,Distribution of population (%),3780,206,0.61,0.191,0.003,0.071,0.001,0.085,0.039
VA,Winchester city,Distribution of all-cause deaths (%),1341,161,0.919,0.054,,,,0.024,
VA,Winchester city,Distribution of COVID-19 deaths (%),1341,161,0.894,,,,,0.062,
VA,Winchester city,Distribution of population (%),1341,161,0.657,0.105,0.002,0.024,0,0.183,0.029
WA,Benton County,Distribution of all-cause deaths (%),2275,253,0.825,0.012,0.011,0.018,,0.124,0.007
WA,Benton County,Distribution of COVID-19 deaths (%),2275,253,0.593,,,,,0.328,
WA,Benton County,Distribution of population (%),2275,253,0.693,0.015,0.007,0.031,0.002,0.226,0.027
WA,Clark County,Distribution of all-cause deaths (%),4588,193,0.915,0.017,0.005,0.023,0.005,0.028,0.006
WA,Clark County,Distribution of COVID-19 deaths (%),4588,193,0.788,,,,,0.098,
WA,Clark County,Distribution of population (%),4588,193,0.768,0.021,0.007,0.048,0.008,0.101,0.045
WA,King County,Distribution of all-cause deaths (%),16650,1261,0.748,0.066,0.012,0.105,0.009,0.046,0.015
WA,King County,Distribution of COVID-19 deaths (%),16650,1261,0.638,0.067,0.013,0.159,0.014,0.1,0.009
WA,King County,Distribution of population (%),16650,1261,0.576,0.066,0.006,0.193,0.008,0.098,0.053
WA,Pierce County,Distribution of all-cause deaths (%),8611,464,0.804,0.066,0.013,0.051,0.016,0.034,0.016
WA,Pierce County,Distribution of COVID-19 deaths (%),8611,464,0.728,0.065,,0.08,0.058,0.052,
WA,Pierce County,Distribution of population (%),8611,464,0.646,0.07,0.011,0.067,0.016,0.112,0.078
WA,Snohomish County,Distribution of all-cause deaths (%),6348,410,0.863,0.019,0.015,0.051,0.004,0.03,0.016
WA,Snohomish County,Distribution of COVID-19 deaths (%),6348,410,0.778,,,0.08,,0.073,
WA,Snohomish County,Distribution of population (%),6348,410,0.677,0.035,0.011,0.118,0.006,0.105,0.049
WA,Spokane County,Distribution of all-cause deaths (%),6490,538,0.916,0.014,0.016,0.013,0.004,0.027,0.01
WA,Spokane County,Distribution of COVID-19 deaths (%),6490,538,0.851,,0.035,0.024,,0.056,
WA,Spokane County,Distribution of population (%),6490,538,0.835,0.019,0.014,0.023,0.006,0.061,0.042
WA,Yakima County,Distribution of all-cause deaths (%),2534,347,0.725,0.009,0.064,0.007,,0.187,0.007
WA,Yakima County,Distribution of COVID-19 deaths (%),2534,347,0.594,,0.095,,,0.285,
WA,Yakima County,Distribution of population (%),2534,347,0.423,0.008,0.037,0.012,0.001,0.501,0.018
WI,Brown County,Distribution of all-cause deaths (%),3364,415,0.91,0.017,0.03,0.014,,0.027,
WI,Brown County,Distribution of COVID-19 deaths (%),3364,415,0.834,,0.055,,,0.067,
WI,Brown County,Distribution of population (%),3364,415,0.803,0.027,0.026,0.033,0,0.09,0.021
WI,Dane County,Distribution of all-cause deaths (%),5475,446,0.92,0.041,0.003,0.014,,0.018,0.003
WI,Dane County,Distribution of COVID-19 deaths (%),5475,446,0.897,0.034,,,,0.045,
WI,Dane County,Distribution of population (%),5475,446,0.792,0.053,0.003,0.062,0,0.065,0.024
WI,Dodge County,Distribution of all-cause deaths (%),1149,160,0.973,,,,,0.016,
WI,Dodge County,Distribution of COVID-19 deaths (%),1149,160,0.95,,,,,,
WI,Dodge County,Distribution of population (%),1149,160,0.895,0.032,0.005,0.006,0.001,0.05,0.01
WI,Eau Claire County,Distribution of all-cause deaths (%),1559,176,0.958,0.008,0.009,0.017,,,
WI,Eau Claire County,Distribution of COVID-19 deaths (%),1559,176,0.92,,,,,,
WI,Eau Claire County,Distribution of population (%),1559,176,0.894,0.011,0.005,0.042,0.002,0.027,0.019
WI,Fond du Lac County,Distribution of all-cause deaths (%),1244,129,0.96,0.012,,,,0.015,
WI,Fond du Lac County,Distribution of COVID-19 deaths (%),1244,129,0.922,,,,,,
WI,Fond du Lac County,Distribution of population (%),1244,129,0.89,0.02,0.004,0.018,0,0.054,0.013
WI,Kenosha County,Distribution of all-cause deaths (%),1961,336,0.891,0.057,,0.007,,0.04,
WI,Kenosha County,Distribution of COVID-19 deaths (%),1961,336,0.839,0.06,,,,0.086,
WI,Kenosha County,Distribution of population (%),1961,336,0.754,0.069,0.003,0.017,0,0.135,0.023
WI,La Crosse County,Distribution of all-cause deaths (%),1827,189,0.966,0.008,0.007,0.011,,0.008,
WI,La Crosse County,Distribution of COVID-19 deaths (%),1827,189,0.915,,,,,,
WI,La Crosse County,Distribution of population (%),1827,189,0.895,0.015,0.004,0.047,0,0.021,0.018
WI,Marathon County,Distribution of all-cause deaths (%),1931,289,0.965,,0.008,0.019,,,
WI,Marathon County,Distribution of COVID-19 deaths (%),1931,289,0.927,,,0.035,,,
WI,Marathon County,Distribution of population (%),1931,289,0.882,0.008,0.004,0.06,0,0.03,0.015
WI,Milwaukee County,Distribution of all-cause deaths (%),12109,1251,0.672,0.241,0.005,0.019,,0.061,0.004
WI,Milwaukee County,Distribution of COVID-19 deaths (%),12109,1251,0.594,0.245,,0.033,,0.12,
WI,Milwaukee County,Distribution of population (%),12109,1251,0.506,0.263,0.006,0.046,0,0.156,0.024
WI,Outagamie County,Distribution of all-cause deaths (%),2132,295,0.947,0.011,0.014,0.013,,0.014,
WI,Outagamie County,Distribution of COVID-19 deaths (%),2132,295,0.908,,,0.034,,0.034,
WI,Outagamie County,Distribution of population (%),2132,295,0.87,0.014,0.016,0.036,0.001,0.046,0.017
WI,Ozaukee County,Distribution of all-cause deaths (%),1379,174,0.896,0.086,,0.008,,0.009,
WI,Ozaukee County,Distribution of COVID-19 deaths (%),1379,174,0.799,0.149,,,,,
WI,Ozaukee County,Distribution of population (%),1379,174,0.91,0.016,0.002,0.026,0,0.031,0.014
WI,Racine County,Distribution of all-cause deaths (%),2139,281,0.835,0.102,,0.005,,0.054,
WI,Racine County,Distribution of COVID-19 deaths (%),2139,281,0.772,0.121,,,,0.1,
WI,Racine County,Distribution of population (%),2139,281,0.713,0.113,0.004,0.012,0,0.136,0.021
WI,Rock County,Distribution of all-cause deaths (%),2012,167,0.918,0.051,,0.005,,0.023,
WI,Rock County,Distribution of COVID-19 deaths (%),2012,167,0.832,,,,,0.102,
WI,Rock County,Distribution of population (%),2012,167,0.823,0.049,0.003,0.013,0,0.091,0.021
WI,Sheboygan County,Distribution of all-cause deaths (%),1435,170,0.953,0.008,,0.016,,0.021,
WI,Sheboygan County,Distribution of COVID-19 deaths (%),1435,170,0.888,,,,,,
WI,Sheboygan County,Distribution of population (%),1435,170,0.835,0.021,0.004,0.057,0,0.067,0.016
WI,Walworth County,Distribution of all-cause deaths (%),1042,113,0.967,0.011,,,,0.017,
WI,Walworth County,Distribution of COVID-19 deaths (%),1042,113,0.956,,,,,,
WI,Walworth County,Distribution of population (%),1042,113,0.853,0.011,0.002,0.01,0,0.112,0.012
WI,Washington County,Distribution of all-cause deaths (%),1315,112,0.976,0.011,,,,,
WI,Washington County,Distribution of COVID-19 deaths (%),1315,112,0.982,,,,,,
WI,Washington County,Distribution of population (%),1315,112,0.925,0.013,0.003,0.014,0,0.033,0.011
WI,Waukesha County,Distribution of all-cause deaths (%),4490,568,0.943,0.024,0.002,0.009,,0.02,
WI,Waukesha County,Distribution of COVID-19 deaths (%),4490,568,0.917,0.032,,,,0.033,
WI,Waukesha County,Distribution of population (%),4490,568,0.88,0.016,0.002,0.038,0,0.049,0.014
WI,Waupaca County,Distribution of all-cause deaths (%),746,111,0.984,,,,,,
WI,Waupaca County,Distribution of COVID-19 deaths (%),746,111,0.973,,,,,,
WI,Waupaca County,Distribution of population (%),746,111,0.94,0.005,0.006,0.005,0,0.033,0.011
WI,Winnebago County,Distribution of all-cause deaths (%),2120,221,0.958,0.011,0.008,0.011,,0.01,
WI,Winnebago County,Distribution of COVID-19 deaths (%),2120,221,0.941,,,,,,
WI,Winnebago County,Distribution of population (%),2120,221,0.879,0.024,0.006,0.03,0,0.044,0.017
WI,Wood County,Distribution of all-cause deaths (%),1481,155,0.972,,,0.007,,0.012,
WI,Wood County,Distribution of COVID-19 deaths (%),1481,155,0.948,,,,,,
WI,Wood County,Distribution of population (%),1481,155,0.92,0.009,0.008,0.019,0,0.032,0.012
WV,Cabell County,Distribution of all-cause deaths (%),2382,210,0.959,0.033,,,,,
WV,Cabell County,Distribution of COVID-19 deaths (%),2382,210,0.957,,,,,,
WV,Cabell County,Distribution of population (%),2382,210,0.901,0.047,0.002,0.012,0,0.014,0.023
WV,Kanawha County,Distribution of all-cause deaths (%),3718,350,0.946,0.049,,0.003,,,
WV,Kanawha County,Distribution of COVID-19 deaths (%),3718,350,0.949,0.046,,,,,
WV,Kanawha County,Distribution of population (%),3718,350,0.877,0.075,0.001,0.01,0,0.012,0.024
WV,Monongalia County,Distribution of all-cause deaths (%),2100,240,0.97,0.024,,,,,
WV,Monongalia County,Distribution of COVID-19 deaths (%),2100,240,0.975,,,,,,
WV,Monongalia County,Distribution of population (%),2100,240,0.883,0.038,0.002,0.033,0,0.022,0.022
WV,Ohio County,Distribution of all-cause deaths (%),1237,177,0.968,0.03,,,,,
WV,Ohio County,Distribution of COVID-19 deaths (%),1237,177,0.966,,,,,,
WV,Ohio County,Distribution of population (%),1237,177,0.919,0.035,0.002,0.008,0,0.013,0.022
WV,Wood County,Distribution of all-cause deaths (%),1237,130,0.986,,,,,,
WV,Wood County,Distribution of COVID-19 deaths (%),1237,130,0.985,,,,,,
